RedFighter,BlueFighter,RedOdds,BlueOdds,RedExpectedValue,BlueExpectedValue,Target
Holly Holm,Germaine de Randamie,100.0,-130.0,100.0,76.9231,0
Anderson Silva,Derek Brunson,100.0,-120.0,100.0,83.3333,1
Jacare Souza,Tim Boetsch,-600.0,450.0,16.6667,450.0,1
Glover Teixeira,Jared Cannonier,-230.0,190.0,43.4783,190.0,1
Dustin Poirier,Jim Miller,-450.0,360.0,22.2222,360.0,1
Randy Brown,Belal Muhammad,-145.0,115.0,68.9655,115.0,0
Wilson Reis,Ulka Sasaki,485.0,-670.0,485.0,14.9254,1
Nik Lentz,Islam Makhachev,270.0,-330.0,270.0,30.303,0
Rick Glenn,Phillipe Nover,-175.0,155.0,57.1429,155.0,1
Ryan LaFlare,Roan Carneiro,-325.0,250.0,30.7692,250.0,1
Dennis Bermudez,Chan Sung Jung,-185.0,160.0,54.0541,160.0,0
Alexa Grasso,Felice Herrig,-380.0,315.0,26.3158,315.0,0
Abel Trujillo,James Vick,115.0,-135.0,115.0,74.0741,0
Ovince Saint Preux,Volkan Oezdemir,-420.0,335.0,23.8095,335.0,0
Anthony Hamilton,Marcel Fortuna,-270.0,230.0,37.037,230.0,0
Jessica Andrade,Angela Hill,-800.0,550.0,12.5,550.0,1
Chas Skelly,Chris Gruetzemacher,-350.0,290.0,28.5714,290.0,1
Ricardo Ramos,Michinori Tanaka,105.0,-125.0,105.0,80.0,1
Tecia Torres,Bec Rawlings,-450.0,317.0,22.2222,317.0,1
Daniel Jolly,Khalil Rountree Jr.,145.0,-185.0,145.0,54.0541,0
Valentina Shevchenko,Julianna Pena,-185.0,160.0,54.0541,160.0,1
Donald Cerrone,Jorge Masvidal,-175.0,155.0,57.1429,155.0,0
Andrei Arlovski,Francis Ngannou,335.0,-420.0,335.0,23.8095,0
Alex Caceres,Jason Knight,115.0,-135.0,115.0,74.0741,0
Nate Marquardt,Sam Alvey,120.0,-140.0,120.0,71.4286,0
